Diagnose,Kennzeichen,Bezeichnung,Kurzbezeichnung
C61,,Bösartige Neubildung der Prostata,Bösartige Neubildung der Prostata
D50.0,,Eisenmangelanämie nach Blutverlust (chronisch),Eisenmangelanämie nach Blutverlust (chronisch)
D50.8,,Sonstige Eisenmangelanämien,Sonstige Eisenmangelanämien
D50.9,,"Eisenmangelanämie, nicht näher bezeichnet","Eisenmangelanämie, nicht näher bezeichnet"
D64.9,,"Anämie, nicht näher bezeichnet","Anämie, nicht näher bezeichnet"
E03.2,,Hypothyreose durch Arzneimittel oder andere exogene Substanzen,Hypothyreose durch Arzneimittel oder andere exogene Substanzen
E03.3,,Postinfektiöse Hypothyreose,Postinfektiöse Hypothyreose
E03.4,,Atrophie der Schilddrüse (erworben),Atrophie der Schilddrüse (erworben)
E03.9,,"Hypothyreose, nicht näher bezeichnet","Hypothyreose, nicht näher bezeichnet"
E11.2,+,"Diabetes mellitus, Typ 2: Mit Nierenkomplikationen","Diabetes mellitus, Typ 2: Mit Nierenkomplikationen"
E11.3,+,"Diabetes mellitus, Typ 2: Mit Augenkomplikationen","Diabetes mellitus, Typ 2: Mit Augenkomplikationen"
E11.8,,"Diabetes mellitus, Typ 2: Mit nicht näher bezeichneten Komplikationen","Diabetes mellitus, Typ 2: Mit nicht näher bezeichneten Komplikationen"
E11.9,,"Diabetes mellitus, Typ 2: Ohne Komplikationen","Diabetes mellitus, Typ 2: Ohne Komplikationen"
E78.0,,Reine Hypercholesterinämie,Reine Hypercholesterinämie
E78.1,,Reine Hypertriglyzeridämie,Reine Hypertriglyzeridämie
E78.2,,Gemischte Hyperlipidämie,Gemischte Hyperlipidämie
E78.5,,"Hyperlipidämie, nicht näher bezeichnet","Hyperlipidämie, nicht näher bezeichnet"
F01.9,,"Vaskuläre Demenz, nicht näher bezeichnet","Vaskuläre Demenz, nicht näher bezeichnet"
F03,,Nicht näher bezeichnete Demenz,Nicht näher bezeichnete Demenz
F05.1,,Delir bei Demenz,Delir bei Demenz
F20.0,,Paranoide Schizophrenie,Paranoide Schizophrenie
F20.1,,Hebephrene Schizophrenie,Hebephrene Schizophrenie
F20.2,,Katatone Schizophrenie,Katatone Schizophrenie
F20.9,,"Schizophrenie, nicht näher bezeichnet","Schizophrenie, nicht näher bezeichnet"
F32.1,,Mittelgradige depressive Episode,Mittelgradige depressive Episode
F33.0,,"Rezidivierende depressive Störung, gegenwärtig leichte Episode","Rezidivierende depressive Störung, gegenwärtig leichte Episode"
F33.1,,"Rezidivierende depressive Störung, gegenwärtig mittelgradige Episode","Rezidivierende depressive Störung, gegenwärtig mittelgradige Episode"
F33.9,,"Rezidivierende depressive Störung, nicht näher bezeichnet","Rezidivierende depressive Störung, nicht näher bezeichnet"
F41.0,,Panikstörung [episodisch paroxysmale Angst],Panikstörung [episodisch paroxysmale Angst]
F41.1,,Generalisierte Angststörung,Generalisierte Angststörung
F41.2,,"Angst und depressive Störung, gemischt","Angst und depressive Störung, gemischt"
F41.9,,"Angststörung, nicht näher bezeichnet","Angststörung, nicht näher bezeichnet"
G24.0,,Arzneimittelinduzierte Dystonie,Arzneimittelinduzierte Dystonie
G24.9,,"Dystonie, nicht näher bezeichnet","Dystonie, nicht näher bezeichnet"
G25.1,,Arzneimittelinduzierter Tremor,Arzneimittelinduzierter Tremor
G25.4,,Arzneimittelinduzierte Chorea,Arzneimittelinduzierte Chorea
G40.0,,Lokalisationsbezogene (fokale) (partielle) idiopathische Epilepsie und epileptische Syndrome mit fokal beginnenden Anfällen,Lokalisationsbez. (fok.) (part.) idiopath. Epilepsie u. epilept. Synd. mit fok. beginnenden Anfällen
G40.3,,Generalisierte idiopathische Epilepsie und epileptische Syndrome,Generalisierte idiopathische Epilepsie und epileptische Syndrome
G40.4,,Sonstige generalisierte Epilepsie und epileptische Syndrome,Sonstige generalisierte Epilepsie und epileptische Syndrome
G40.9,,"Epilepsie, nicht näher bezeichnet","Epilepsie, nicht näher bezeichnet"
G43.0,,Migräne ohne Aura [Gewöhnliche Migräne],Migräne ohne Aura [Gewöhnliche Migräne]
G43.1,,Migräne mit Aura [Klassische Migräne],Migräne mit Aura [Klassische Migräne]
G43.2,,Status migraenosus,Status migraenosus
G43.9,,"Migräne, nicht näher bezeichnet","Migräne, nicht näher bezeichnet"
H40.0,,Glaukomverdacht,Glaukomverdacht
H40.1,,Primäres Weitwinkelglaukom,Primäres Weitwinkelglaukom
H40.2,,Primäres Engwinkelglaukom,Primäres Engwinkelglaukom
H40.9,,"Glaukom, nicht näher bezeichnet","Glaukom, nicht näher bezeichnet"
I10,,Essentielle (primäre) Hypertonie,Essentielle (primäre) Hypertonie
I11.9,,Hypertensive Herzkrankheit ohne (kongestive) Herzinsuffizienz,Hypertensive Herzkrankheit ohne (kongestive) Herzinsuffizienz
I15.9,,"Sekundäre Hypertonie, nicht näher bezeichnet","Sekundäre Hypertonie, nicht näher bezeichnet"
I25.1,,Atherosklerotische Herzkrankheit,Atherosklerotische Herzkrankheit
I25.2,,Alter Myokardinfarkt,Alter Myokardinfarkt
I25.5,,Ischämische Kardiomyopathie,Ischämische Kardiomyopathie
I25.9,,"Chronische ischämische Herzkrankheit, nicht näher bezeichnet","Chronische ischämische Herzkrankheit, nicht näher bezeichnet"
I48.0,,"Vorhofflimmern, paroxysmal","Vorhofflimmern, paroxysmal"
I48.1,,"Vorhofflimmern, persistierend","Vorhofflimmern, persistierend"
I48.3,,"Vorhofflattern, typisch","Vorhofflattern, typisch"
I48.9,,"Vorhofflimmern und Vorhofflattern, nicht näher bezeichnet","Vorhofflimmern und Vorhofflattern, nicht näher bezeichnet"
I63.9,,"Hirninfarkt, nicht näher bezeichnet","Hirninfarkt, nicht näher bezeichnet"
I69.1,,Folgen einer intrazerebralen Blutung,Folgen einer intrazerebralen Blutung
I69.3,,Folgen eines Hirninfarktes,Folgen eines Hirninfarktes
